ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Contestant,WRank,LRank,Wsets,Lsets,Comment,Outcome,elo_winner,elo_loser
1,Adelaide,Australian Hardcourt Championships,1/3/2000,International,Outdoor,Hard,2nd Round,3,Enqvist T.,5,65,2,0,Completed,Lose,1500,1500
1,Adelaide,Australian Hardcourt Championships,1/3/2000,International,Outdoor,Hard,1st Round,3,Knippschild J.,65,87,2,0,Completed,Win,1484,1500
4,Auckland,Heineken Open,1/10/2000,International,Outdoor,Hard,1st Round,3,Ferrero J.C.,45,61,2,0,Completed,Lose,1500,1500.736307
6,Melbourne,Australian Open,1/17/2000,Grand Slam,Outdoor,Hard,2nd Round,5,Kroslak J.,62,104,3,0,Completed,Win,1484.702399,1483.32969
6,Melbourne,Australian Open,1/17/2000,Grand Slam,Outdoor,Hard,3rd Round,5,Clement A.,54,62,3,0,Completed,Lose,1487.299,1500.639183
6,Melbourne,Australian Open,1/17/2000,Grand Slam,Outdoor,Hard,1st Round,5,Chang M.,62,38,3,0,Completed,Win,1484.025147,1550.58556
8,Marseille,Marseille Open,2/7/2000,International,Indoor,Hard,Semifinals,3,Santoro F.,67,38,2,0,Completed,Win,1503.05341,1555.018173
8,Marseille,Marseille Open,2/7/2000,International,Indoor,Hard,The Final,3,Rosset M.,77,67,2,1,Completed,Lose,1517.849673,1521.42879
8,Marseille,Marseille Open,2/7/2000,International,Indoor,Hard,Quarterfinals,3,Ljubicic I.,67,69,2,1,Completed,Win,1505.263971,1520.018565
8,Marseille,Marseille Open,2/7/2000,International,Indoor,Hard,2nd Round,3,Johansson T.,67,41,2,0,Completed,Win,1521.943037,1500.736307
12,London,AXA Cup,2/21/2000,International Gold,Indoor,Hard,1st Round,3,Kiefer N.,66,4,2,0,Completed,Win,1550.676756,1641.871793
12,London,AXA Cup,2/21/2000,International Gold,Indoor,Hard,Quarterfinals,3,Rosset M.,72,66,2,1,Completed,Lose,1627.187768,1570.782582
14,Copenhagen,Copenhagen Open,2/28/2000,International,Indoor,Hard,2nd Round,3,Jonsson F.,58,121,2,0,Completed,Win,1570.625269,1483.958174
14,Copenhagen,Copenhagen Open,2/28/2000,International,Indoor,Hard,1st Round,3,Dewulf F.,58,234,2,1,Completed,Win,1582.714874,1498.457281
14,Copenhagen,Copenhagen Open,2/28/2000,International,Indoor,Hard,Semifinals,3,Larsson M.,48,58,2,0,Completed,Lose,1590.439315,1594.908989
14,Copenhagen,Copenhagen Open,2/28/2000,International,Indoor,Hard,Quarterfinals,3,Pozzi G.,58,83,2,1,Completed,Win,1578.703164,1509.530846
20,Miami,Ericsson Open,3/23/2000,Masters,Outdoor,Hard,2nd Round,3,Zabaleta M.,25,53,2,0,Completed,Lose,1499.726707,1591.559094
20,Miami,Ericsson Open,3/23/2000,Masters,Outdoor,Hard,1st Round,3,Gimelstob J.,53,99,2,0,Completed,Win,1571.425863,1501.384249
24,Monte Carlo,Monte Carlo Masters,4/17/2000,Masters,Outdoor,Clay,1st Round,3,Novak J.,37,49,2,1,Completed,Lose,1487.944591,1584.243325
25,Barcelona,Open Seat Godo,4/24/2000,International Gold,Outdoor,Clay,1st Round,3,Bruguera S.,249,51,2,0,Completed,Lose,1467.952508,1563.918783
29,Rome,Rome TMS,5/8/2000,Masters,Outdoor,Clay,1st Round,3,Medvedev A.,25,51,2,1,Completed,Lose,1483.988701,1543.608437
30,Hamburg,Hamburg TMS,5/15/2000,Masters,Outdoor,Clay,1st Round,3,Pavel A.,70,50,2,0,Completed,Lose,1538.375323,1524.889482
31,St. Polten,Internationaler Raiffeisen Grand Prix,5/22/2000,International,Outdoor,Clay,1st Round,3,Hantschk M.,94,54,2,0,Completed,Lose,1500.351447,1509.510216
32,Paris,French Open,5/29/2000,Grand Slam,Outdoor,Clay,2nd Round,5,Gambill J.M.,54,69,3,0,Completed,Win,1493.088537,1513.04024
32,Paris,French Open,5/29/2000,Grand Slam,Outdoor,Clay,4th Round,5,Corretja A.,10,54,3,0,Completed,Lose,1648.485181,1510.006338
32,Paris,French Open,5/29/2000,Grand Slam,Outdoor,Clay,1st Round,5,Arthurs W.,54,106,3,1,Completed,Win,1516.843751,1442.037604
33,Halle,Gerry Weber Open,6/12/2000,International,Outdoor,Grass,2nd Round,3,Larsson M.,38,49,2,0,Completed,Win,1529.451066,1576.693611
33,Halle,Gerry Weber Open,6/12/2000,International,Outdoor,Grass,1st Round,3,Clement A.,38,57,2,0,Completed,Win,1547.613355,1476.225214
33,Halle,Gerry Weber Open,6/12/2000,International,Outdoor,Grass,Quarterfinals,3,Chang M.,28,38,2,0,Completed,Lose,1556.891518,1560.371307
35,Nottingham,Nottingham Open,6/19/2000,International,Outdoor,Grass,1st Round,3,Fromberg R.,71,35,2,0,Completed,Lose,1513.214465,1544.211062
37,London,Wimbledon,6/26/2000,Grand Slam,Outdoor,Grass,1st Round,5,Kafelnikov Y.,5,35,3,0,Completed,Lose,1580.284781,1526.787391
39,Gstaad,Gstaad Open,7/10/2000,International,Outdoor,Clay,1st Round,3,Corretja A.,10,39,2,1,Completed,Lose,1706.131418,1513.23175
47,Toronto,Toronto TMS,7/31/2000,Masters,Outdoor,Hard,1st Round,3,Hewitt L.,10,38,2,1,Completed,Lose,1715.387412,1505.302385
48,Cincinnati,Cincinnati TMS,8/7/2000,Masters,Outdoor,Hard,1st Round,3,Clavet F.,43,39,2,0,Completed,Lose,1570.352916,1497.948251
49,Indianapolis,RCA Championships,8/14/2000,International Gold,Outdoor,Hard,1st Round,3,Sekulov J.,191,40,2,0,Completed,Lose,1424.874284,1485.235164
52,New York,US Open,8/28/2000,Grand Slam,Outdoor,Hard,3rd Round,5,Ferrero J.C.,12,40,3,1,Completed,Lose,1624.759326,1482.898756
52,New York,US Open,8/28/2000,Grand Slam,Outdoor,Hard,1st Round,5,Wessels P.,40,89,2,2,Retired,Win,1473.091311,1556.420545
58,Vienna,CA Tennis Trophy,10/9/2000,International Gold,Indoor,Hard,1st Round,3,Norman M.,31,4,2,1,Completed,Win,1492.856837,1748.523479
58,Vienna,CA Tennis Trophy,10/9/2000,International Gold,Indoor,Hard,Semifinals,3,Henman T.,10,31,2,1,Completed,Lose,1705.918754,1518.88311
58,Vienna,CA Tennis Trophy,10/9/2000,International Gold,Indoor,Hard,Quarterfinals,3,Krajicek R.,31,20,2,0,Completed,Win,1510.750698,1671.902403
58,Vienna,CA Tennis Trophy,10/9/2000,International Gold,Indoor,Hard,2nd Round,3,Mirnyi M.,31,43,2,0,Completed,Win,1533.681932,1554.425343
61,Basel,Swiss Indoors,10/23/2000,International,Indoor,Carpet,Semifinals,3,Hewitt L.,34,9,2,1,Completed,Win,1550.636068,1757.151721
61,Basel,Swiss Indoors,10/23/2000,International,Indoor,Carpet,Quarterfinals,3,Thomann N.,34,185,2,0,Completed,Win,1593.251238,1504.969715
61,Basel,Swiss Indoors,10/23/2000,International,Indoor,Carpet,The Final,5,Enqvist T.,6,34,3,2,Completed,Lose,1748.652277,1605.271017
63,Stuttgart,Stuttgart TMS,10/30/2000,Masters,Indoor,Hard,2nd Round,3,Kafelnikov Y.,5,25,2,0,Completed,Lose,1657.06325,1611.981886
63,Stuttgart,Stuttgart TMS,10/30/2000,Masters,Indoor,Hard,1st Round,3,Gambill J.M.,25,27,1,0,Retired,Win,1598.046386,1604.814635
64,Lyon,Grand Prix de Lyon,11/6/2000,International,Indoor,Carpet,1st Round,3,Escude N.,24,38,2,0,Completed,Win,1614.358036,1562.051853
